years,rank,manufacturer,sales
2015-01,1,上汽大众,177483
2015-01,2,一汽-大众,144203
2015-01,3,上汽通用五菱,129608
2015-01,4,北京现代,103319
2015-01,5,上汽通用别克,90510
2015-01,6,长安福特,83225
2015-01,7,长城汽车,77530
2015-01,8,进口标致,71632
2015-01,9,上汽通用雪佛兰,67563
2015-01,10,东风日产,67485
2015-01,11,长城汽车,64285
2015-01,12,长安汽车,60689
2015-01,13,吉利汽车,58977
2015-01,14,悦达起亚,56130
2015-01,15,一汽-大众奥迪,47328
2015-01,16,东风标致,44230
2015-01,17,长安汽车,42856
2015-01,18,比亚迪,42335
2015-01,19,奇瑞汽车,35397
2015-01,20,东风风行,35005
2015-01,21,广汽本田,33777
2015-01,22,上汽通用五菱,33216
2015-01,23,广汽丰田,33024
2015-01,24,江淮汽车,30706
2015-01,25,一汽丰田,29888
2015-01,26,华晨宝马,29793
2015-01,27,上汽大众斯柯达,28195
2015-01,28,东风雪铁龙,27079
2015-01,29,东风本田,24659
2015-01,30,东风小康,22324
2015-01,31,北汽幻速,21259
2015-01,32,众泰汽车,19612
2015-01,33,北京奔驰,19022
2015-01,34,一汽奔腾,18520
2015-01,35,长安铃木,17645
2015-01,36,北汽昌河,16971
2015-01,37,长安马自达,15357
2015-01,38,东风乘用车,14996
2015-01,39,一汽海马,11394
2015-01,40,广汽乘用车,10608
2015-01,41,华晨中华,10047
2015-01,42,天津一汽,9867
2015-01,43,东风日产,9523
2015-01,44,上汽集团,9321
2015-01,45,海马汽车,9056
2015-01,46,东风裕隆,9000
2015-01,47,力帆汽车,8750
2015-01,48,昌河铃木,8658
2015-01,49,东南汽车,7884
2015-01,50,长城汽车,7504
2015-01,51,北京汽车,7365
2015-01,52,华泰汽车,6458
2015-01,53,鑫源汽车,6320
2015-01,54,SWM斯威汽车,6320
2015-01,55,一汽马自达,6041
2015-01,56,广汽三菱,6007
2015-01,57,莲花汽车,5412
2015-01,58,东风小康,4483
2015-01,59,绵阳金杯,4160
2015-01,60,北汽昌河,3978
2015-01,61,一汽吉林,3752
2015-01,62,广汽菲克菲亚特,3554
2015-01,63,上汽通用凯迪拉克,2725
