车型,厂商,时间,月销量(辆),当月销量排名,占厂商份额,在厂商排名,在SUV排名
秦PLUS,比亚迪,2024-02,27851,1,25.37%,1,1
秦PLUS,比亚迪,2024-01,29244,7,15.33%,2,3
秦PLUS,比亚迪,2023-12,41142,4,14.61%,2,2
秦PLUS,比亚迪,2023-11,38054,4,15.21%,2,2
秦PLUS,比亚迪,2023-10,37902,1,15.38%,1,1
秦PLUS,比亚迪,2023-09,39904,2,16.36%,1,1
秦PLUS,比亚迪,2023-08,39808,2,17.30%,1,1
秦PLUS,比亚迪,2023-07,37129,1,16.90%,1,1
秦PLUS,比亚迪,2023-06,38197,2,17.37%,1,1
秦PLUS,比亚迪,2023-05,42887,1,20.45%,1,1
秦PLUS,比亚迪,2023-04,39951,1,21.77%,1,1
秦PLUS,比亚迪,2023-03,40215,2,22.17%,1,1
秦PLUS,比亚迪,2023-02,27434,3,16.20%,2,1
Model Y,特斯拉中国,2024-02,22537,2,74.77%,1,1
Model Y,特斯拉中国,2024-01,29912,6,75.00%,1,4
Model Y,特斯拉中国,2023-12,60055,1,79.22%,1,1
Model Y,特斯拉中国,2023-11,49877,1,76.14%,1,1
Model Y,特斯拉中国,2023-10,26353,8,92.06%,1,4
Model Y,特斯拉中国,2023-09,41428,1,95.22%,1,1
Model Y,特斯拉中国,2023-08,51117,1,79.01%,1,1
Model Y,特斯拉中国,2023-07,23632,8,75.21%,1,2
Model Y,特斯拉中国,2023-06,51471,1,69.36%,1,1
Model Y,特斯拉中国,2023-05,31054,3,73.05%,1,1
Model Y,特斯拉中国,2023-04,26760,5,66.97%,1,2
Model Y,特斯拉中国,2023-03,54937,1,71.66%,1,1
Model Y,特斯拉中国,2023-02,25526,5,75.25%,1,2
问界M7,问界汽车,2024-02,21083,3,77.40%,1,2
问界M7,问界汽车,2024-01,29997,5,97.22%,1,3
问界M7,问界汽车,2023-12,25545,15,84.84%,1,7
问界M7,问界汽车,2023-11,17039,25,84.71%,1,12
问界M7,问界汽车,2023-10,12193,44,87.08%,1,21
问界M7,问界汽车,2023-09,5248,115,78.23%,1,53
问界M7,问界汽车,2023-08,988,288,30.66%,2,150
问界M7,问界汽车,2023-07,769,313,18.18%,2,167
问界M7,问界汽车,2023-06,432,363,8.45%,2,194
问界M7,问界汽车,2023-05,626,324,15.33%,2,163
问界M7,问界汽车,2023-04,828,302,33.98%,2,150
问界M7,问界汽车,2023-03,1333,236,36.77%,2,113
问界M7,问界汽车,2023-02,1223,222,34.73%,2,107
轩逸,东风日产,2024-02,19878,4,54.93%,1,2
轩逸,东风日产,2024-01,30384,4,52.20%,1,2
轩逸,东风日产,2023-12,48385,2,54.66%,1,1
轩逸,东风日产,2023-11,39105,3,60.06%,1,1
轩逸,东风日产,2023-10,31239,5,48.78%,1,3
轩逸,东风日产,2023-09,30028,6,56.02%,1,3
轩逸,东风日产,2023-08,32894,5,59.83%,1,3
轩逸,东风日产,2023-07,29670,3,59.12%,1,2
轩逸,东风日产,2023-06,29638,3,54.95%,1,2
轩逸,东风日产,2023-05,35396,2,62.64%,1,2
轩逸,东风日产,2023-04,26975,4,52.79%,1,2
轩逸,东风日产,2023-03,22855,9,58.24%,1,4
轩逸,东风日产,2023-02,26102,4,52.67%,1,2
长安CS75 PLUS,长安汽车,2024-02,17303,5,33.20%,1,3
长安CS75 PLUS,长安汽车,2024-01,40496,1,31.05%,1,1
长安CS75 PLUS,长安汽车,2023-12,21872,21,27.82%,1,9
长安CS75 PLUS,长安汽车,2023-11,18494,20,24.08%,1,9
长安CS75 PLUS,长安汽车,2023-10,22304,13,25.46%,1,6
长安CS75 PLUS,长安汽车,2023-09,23179,12,27.28%,1,6
长安CS75 PLUS,长安汽车,2023-08,22387,12,26.84%,1,5
长安CS75 PLUS,长安汽车,2023-07,21323,12,25.26%,1,4
长安CS75 PLUS,长安汽车,2023-06,21720,13,25.20%,1,4
