years,rank,logo,country,brand,sales
2016-01,1,https://i.img16888.com/carlogo75/57411.gif,德国,大众,304779
2016-01,2,https://i.img16888.com/carlogo75/57354.gif,美国,别克,123095
2016-01,3,https://i.img16888.com/carlogo75/57534.gif,美国,福特,120222
2016-01,4,https://i.img16888.com/carlogo75/125976.gif,中国,五菱汽车,109053
2016-01,5,https://i.img16888.com/carlogo75/57500.gif,日本,丰田,97622
2016-01,6,https://i.img16888.com/carlogo75/57378.gif,中国,长安,90791
2016-01,7,https://i.img16888.com/carlogo75/57305.gif,日本,本田,84940
2016-01,8,https://i.img16888.com/carlogo75/125808.gif,中国,宝骏,82127
2016-01,9,https://i.img16888.com/carlogo75/58001.gif,韩国,现代,79817
2016-01,10,https://i.img16888.com/carlogo75/126026.gif,中国,哈弗,74165
2016-01,11,https://i.img16888.com/carlogo75/57864.gif,日本,日产,71253
2016-01,12,https://i.img16888.com/carlogo75/57604.gif,中国,吉利汽车,60138
2016-01,13,https://i.img16888.com/carlogo75/57229.gif,德国,奥迪,55285
2016-01,14,https://i.img16888.com/carlogo75/57838.gif,韩国,起亚,48675
2016-01,15,https://i.img16888.com/carlogo75/57620.gif,中国,江汽集团,47053
2016-01,16,https://i.img16888.com/carlogo75/57328.gif,中国,比亚迪,42949
2016-01,17,https://i.img16888.com/carlogo75/58024.gif,美国,雪佛兰,42351
2016-01,18,https://i.img16888.com/carlogo75/126388.gif,中国,东风风行,40009
2016-01,19,https://i.img16888.com/carlogo75/126292.gif,中国,长安欧尚,38958
2016-01,20,https://i.img16888.com/carlogo75/57823.gif,中国,奇瑞,38602
2016-01,21,https://i.img16888.com/carlogo75/57338.gif,法国,标致,35059
2016-01,22,https://i.img16888.com/carlogo75/58044.gif,法国,雪铁龙,34408
2016-01,23,https://i.img16888.com/carlogo75/126546.gif,中国,北汽幻速,33294
2016-01,24,https://i.img16888.com/carlogo75/57563.gif,中国,广汽传祺,33222
2016-01,25,https://i.img16888.com/carlogo75/58085.gif,中国,众泰,31254
2016-01,26,https://i.img16888.com/carlogo75/57954.gif,捷克,斯柯达,30750
2016-01,27,https://i.img16888.com/carlogo75/57279.gif,德国,奔驰,29256
2016-01,28,https://i.img16888.com/carlogo75/57571.gif,中国,海马,28993
2016-01,29,https://i.img16888.com/carlogo75/57248.gif,德国,宝马,27663
2016-01,30,https://i.img16888.com/carlogo75/57772.gif,日本,马自达,22217
2016-01,31,https://i.img16888.com/carlogo75/58074.gif,中国,中华,20642
2016-01,32,https://i.img16888.com/carlogo75/57733.gif,日本,铃木,20323
2016-01,33,https://i.img16888.com/carlogo75/57474.gif,中国,东风风神,20099
2016-01,34,https://i.img16888.com/carlogo75/126169.gif,中国,北京汽车,19166
2016-01,35,https://i.img16888.com/carlogo75/126179.gif,中国,北汽威旺,17778
2016-01,36,https://i.img16888.com/carlogo75/57891.gif,中国,荣威,15264
2016-01,37,https://i.img16888.com/carlogo75/57636.gif,中国,金杯,13679
2016-01,38,https://i.img16888.com/carlogo75/57301.gif,中国,奔腾,13115
2016-01,39,https://i.img16888.com/carlogo75/57477.gif,中国,东南,11684
2016-01,40,https://i.img16888.com/carlogo75/126073.gif,中国,启辰,11161
2016-01,41,https://i.img16888.com/carlogo75/57612.gif,美国,Jeep,8307
2016-01,42,https://i.img16888.com/carlogo75/57765.gif,中国,名爵,8282
2016-01,43,https://i.img16888.com/carlogo75/57594.gif,中国,华泰,7737
2016-01,44,https://i.img16888.com/carlogo75/125802.gif,中国,纳智捷,7568
2016-01,45,https://i.img16888.com/carlogo75/58064.gif,中国,一汽,6234
2016-01,46,https://i.img16888.com/carlogo75/57651.gif,美国,凯迪拉克,6222
2016-01,47,https://i.img16888.com/carlogo75/57384.gif,中国,长城,6028
2016-01,48,https://i.img16888.com/carlogo75/126518.gif,中国,中国重汽,5207
2016-01,49,https://i.img16888.com/carlogo75/57710.gif,中国,力帆汽车,4568
2016-01,50,https://i.img16888.com/carlogo75/57404.gif,中国,野马汽车,4380
2016-01,51,https://i.img16888.com/carlogo75/57375.gif,中国,北汽昌河,3813
2016-01,52,https://i.img16888.com/carlogo75/126778.gif,中国,凯翼,3044
2016-01,53,https://i.img16888.com/carlogo75/126042.gif,法国,DS,2444
2016-01,54,https://i.img16888.com/carlogo75/58067.gif,日本,英菲尼迪,2157
2016-01,55,https://i.img16888.com/carlogo75/57490.gif,意大利,菲亚特,2071
2016-01,56,https://i.img16888.com/carlogo75/126157.gif,中国,观致,2009
2016-01,57,https://i.img16888.com/carlogo75/57909.gif,日本,三菱,1865
2016-01,58,https://i.img16888.com/carlogo75/126335.gif,中国,东风小康,1652
2016-01,59,https://i.img16888.com/carlogo75/124944.gif,中国,江铃,1371
2016-01,60,https://i.img16888.com/carlogo75/126162.gif,中国,上汽大通MAXUS,1233
2016-01,61,https://i.img16888.com/carlogo75/57552.gif,中国,福田,1131
2016-01,62,https://i.img16888.com/carlogo75/126500.gif,中国,东风风度,902
2016-01,63,https://i.img16888.com/carlogo75/126528.gif,中国,福汽启腾,712
2016-01,64,https://i.img16888.com/carlogo75/57464.gif,中国,东风,428
2016-01,65,https://i.img16888.com/carlogo75/57601.gif,中国,广汽吉奥,415
2016-01,66,https://i.img16888.com/carlogo75/57584.gif,中国,红旗,291
2016-01,67,https://i.img16888.com/carlogo75/57645.gif,中国,开瑞,207
2016-01,68,https://i.img16888.com/carlogo75/126360.gif,中国,腾势,204
2016-01,69,https://i.img16888.com/carlogo75/57970.gif,中国,威麟,191
2016-01,70,https://i.img16888.com/carlogo75/126663.gif,日本,五十铃,77
2016-01,71,https://i.img16888.com/carlogo75/126759.gif,中国,华颂,67
2016-01,72,https://i.img16888.com/carlogo75/126283.gif,中国,北汽制造,62
2016-01,73,https://i.img16888.com/carlogo75/57598.gif,中国,黄海,30
2016-01,74,https://i.img16888.com/carlogo75/126113.gif,中国,欧朗,23
2016-01,75,https://i.img16888.com/carlogo75/57272.gif,中国,北京,6
2016-01,76,https://i.img16888.com/carlogo75/57487.gif,中国,永源,1
2016-02,1,https://i.img16888.com/carlogo75/57411.gif,德国,大众,193083
2016-02,2,https://i.img16888.com/carlogo75/57534.gif,美国,福特,78920
2016-02,3,https://i.img16888.com/carlogo75/125976.gif,中国,五菱汽车,72950
2016-02,4,https://i.img16888.com/carlogo75/57354.gif,美国,别克,65252
2016-02,5,https://i.img16888.com/carlogo75/125808.gif,中国,宝骏,62043
2016-02,6,https://i.img16888.com/carlogo75/57378.gif,中国,长安,61022
2016-02,7,https://i.img16888.com/carlogo75/58001.gif,韩国,现代,56169
2016-02,8,https://i.img16888.com/carlogo75/57500.gif,日本,丰田,55752
2016-02,9,https://i.img16888.com/carlogo75/57305.gif,日本,本田,52753
2016-02,10,https://i.img16888.com/carlogo75/126026.gif,中国,哈弗,50017
2016-02,11,https://i.img16888.com/carlogo75/57838.gif,韩国,起亚,39540
2016-02,12,https://i.img16888.com/carlogo75/126292.gif,中国,长安欧尚,36617
2016-02,13,https://i.img16888.com/carlogo75/57604.gif,中国,吉利汽车,33387
2016-02,14,https://i.img16888.com/carlogo75/57229.gif,德国,奥迪,32994
2016-02,15,https://i.img16888.com/carlogo75/58024.gif,美国,雪佛兰,31814
2016-02,16,https://i.img16888.com/carlogo75/57620.gif,中国,江汽集团,30424
2016-02,17,https://i.img16888.com/carlogo75/57864.gif,日本,日产,28926
2016-02,18,https://i.img16888.com/carlogo75/57823.gif,中国,奇瑞,23149
2016-02,19,https://i.img16888.com/carlogo75/57338.gif,法国,标致,21526
2016-02,20,https://i.img16888.com/carlogo75/126546.gif,中国,北汽幻速,20686
2016-02,21,https://i.img16888.com/carlogo75/58074.gif,中国,中华,18318
2016-02,22,https://i.img16888.com/carlogo75/57954.gif,捷克,斯柯达,18205
