brand,saleVolume,min_price,max_price,carModel,energyType
特斯拉,60055,25.89,36.39,中型SUV,纯电动
日产,48385,7.86,15.99,紧凑型车,汽油
比亚迪,41012,7.38,8.98,小型车,纯电动
大众,38760,7.09,12.29,紧凑型车,汽油
大众,34920,8.99,13.49,紧凑型车,汽油
比亚迪,30799,12.78,16.08,紧凑型SUV,纯电动
比亚迪,30525,14.48,20.88,紧凑型SUV,插电式混合动力
比亚迪,27956,8.98,13.58,紧凑型车,插电式混合动力
大众,27826,14.99,21.69,中型车,汽油
比亚迪,27812,12.18,15.58,紧凑型SUV,插电式混合动力
五菱汽车,27458,5.98,8.88,小型车,纯电动
比亚迪,26814,11.68,13.98,小型车,纯电动
本田,26354,15.79,23.59,紧凑型SUV,汽油
丰田,25990,13.88,22.58,紧凑型SUV,汽油
AITO,25545,24.98,37.98,中大型SUV,增程式
五菱汽车,25015,2.98,9.99,微型车,纯电动
大众,24559,14.39,21.49,中型车,汽油
丰田,22688,14.98,23.98,中型车,汽油
埃安,22678,11.98,15.38,紧凑型SUV,纯电动
本田,22661,14.48,22.18,中型车,汽油
长安,21872,9.79,13.99,紧凑型SUV,汽油
哈弗,21430,8.39,12.98,紧凑型SUV,汽油
奥迪,21411,35.09,55.88,中大型车,汽油
大众,20589,15.87,22.08,中型SUV,汽油
理想汽车,20428,31.98,37.98,中大型SUV,增程式
奔驰,19418,27.32,31.9,中型车,48V轻混系统
本田,19114,14.99,23.19,紧凑型SUV,油电混合
奥迪,17932,30.65,38.18,中型SUV,汽油
丰田,17589,10.28,16.18,紧凑型SUV,汽油
日产,17520,10.59,17.09,紧凑型SUV,汽油
奇瑞,16765,7.89,15.09,中型SUV,汽油
丰田,15955,10.18,15.68,紧凑型SUV,汽油
特斯拉,15750,24.59,28.59,中型车,纯电动
本田,15361,9.99,15.69,紧凑型车,汽油
埃安,15216,13.98,20.29,紧凑型车,纯电动
理想汽车,15013,33.98,39.98,中大型SUV,增程式
理想汽车,14913,42.98,45.98,大型SUV,增程式
红旗,14674,13.98,22.58,中型车,汽油
奥迪,14432,23.88,30.78,中大型MPV,汽油
大众,14421,15.79,21.29,中型SUV,汽油
比亚迪,13845,16.48,20.48,紧凑型SUV,纯电动
吉利汽车,13796,10.67,13.57,紧凑型车,汽油
丰田,13779,8.58,12.48,小型SUV,汽油
大众,13640,12.36,18.16,紧凑型SUV,汽油
日产,13269,13.98,19.98,中型车,汽油
丰田,13228,13.78,22.88,紧凑型SUV,汽油
大众,13201,12.49,14.29,微面,纯电动
比亚迪,13186,11.98,17.88,紧凑型车,纯电动
奇瑞,13121,9.89,13.79,紧凑型车,汽油
