brand,carName,carImg,saleVolume,min_price,max_price,manufacturer,rank,carModel,energyType,marketTime,over_score,appearance_score,interior_score,configure_score,spatial_score,comfort_score,manipulating_score,motivation_score,comprehensive_evaluation
特斯拉,Model Y,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/6180aeadc5934c81906060f03bc651ff~tplv-resize:640:0.png,22537,25.89,36.39,特斯拉中国,1,中型SUV,纯电动,2024.02,4.04,4.30,3.46,3.70,4.40,4.09,4.17,4.19,"['整体空间出色（369）', '动力十足（236）', '操控出色（208）', '驾驶体验良好（143）', '后备厢空间大（104）', '储物空间合理（92）', '配置实用（80）', '续航表现优秀（68）', '动力响应灵敏（63）', '车机操作流畅（52）', '音响品质好（49）', '充电时间较短（42）', '乘坐感受比较差（65）', '漆面薄（47）', '有异响（42）', '悬挂表现不理想（39）', '续航表现较差（39）', '底盘表现不理想（31）', '隔音差（30）', '配置鸡肋（29）', '悬架跳动明显（23）', '新车异味较大（20）', '胎噪大（16）', '后排空间小（12）']"
比亚迪,秦PLUS DM-i,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/b16feb96960c4b178686faea93e71f3c~tplv-resize:640:0.png,21268,7.98,12.58,比亚迪,2,紧凑型车,插电式混合动力,2024.02,-,-,-,-,-,-,-,-,"['动力十足（640）', '油耗低（491）', '动力响应灵敏（213）', '整体空间出色（187）', '动力输出平顺（153）', '驾驶体验良好（151）', '静谧性强（118）', '配置丰富（116）', '续航表现优秀（111）', '配置实用（85）', '操控出色（84）', '外观耐看（76）', '胎噪大（222）', '有异响（113）', '底盘表现不理想（109）', '悬挂表现不理想（87）', '隔音差（85）', '乘坐感受比较差（73）', '后排空间小（57）', '风噪大（43）', '刹车表现较差（43）', '配置低（41）', '续航表现较差（39）', '油耗高（38）']"
AITO,问界M7,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/ec234ea1f5a64f9b940ac268fa562ec4~tplv-resize:640:0.png,21083,24.98,37.98,赛力斯汽车,3,中大型SUV,增程式,2023.09,4.07,3.80,4.28,4.18,3.99,4.16,4.02,4.09,"['整体空间出色（66）', '动力十足（48）', '配置丰富（43）', '驾驶体验良好（37）', '静谧性强（35）', '配置实用（33）', '乘坐感受还可以（31）', '车机操作流畅（27）', '内饰质感不错（21）', '内饰好看（16）', '底盘调校好（16）', '操控出色（15）', '后备厢空间小（12）', '第三排狭小（11）', '有异响（9）', '配置鸡肋（9）', '空间局促（4）', '续航表现较差（4）', '刹车表现较差（4）', '底盘表现不理想（4）', '悬挂表现不理想（3）', '操控感较差（3）', '储物空间较少（2）', '后排地台隆起（2）']"
日产,轩逸,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/f5483079e6094fb898c14f3b3d6c1493~tplv-resize:640:0.png,19878,7.86,15.99,东风日产,4,紧凑型车,汽油,2024.01,3.52,3.79,3.35,3.08,3.98,3.55,3.47,3.42,"['乘坐感受还可以（360）', '油耗低（359）', '整体空间出色（343）', '动力输出平顺（119）', '动力十足（111）', '后排空间大（97）', '外观时尚（68）', '驾驶体验良好（67）', '动力响应灵敏（64）', '后备厢空间大（61）', '保养费用低（53）', '动力中规中矩（131）', '动力不足（168）', '动力响应不灵敏（125）', '漆面薄（124）', '隔音差（76）', '配置低（72）', '有异响（60）', '胎噪大（33）', '整体配置一般（31）', '油耗高（27）', '内饰材质较差（25）', '风噪大（22）', '新车异味较大（21）']"
长安,长安CS75 PLUS,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/75ebab9e98d24c8b86fbae3f3554dc15~tplv-resize:640:0.png,17303,9.79,13.49,长安汽车,5,紧凑型SUV,汽油,2024.03,3.74,4.00,3.88,3.67,4.05,3.51,3.50,3.53,"['整体空间出色（480）', '动力十足（381）', '配置丰富（138）', '后备厢空间大（104）', '后排空间大（91）', '外观时尚（82）', '动力响应灵敏（81）', '乘坐感受还可以（79）', '驾驶体验良好（69）', '动力输出平顺（66）', '内饰质感不错（61）', '动力中规中矩（79）', '油耗高（171）', '有异响（130）', '隔音差（79）', '胎噪大（51）', '车机卡顿严重（42）', '动力响应不灵敏（42）', '变速箱换挡顿挫（38）', '新车异味较大（34）', '乘坐感受比较差（31）', '配置鸡肋（30）', '风噪大（28）', '底盘表现不理想（26）']"
比亚迪,海鸥,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/af600c6bd2844b1fa774fd19a23466da~tplv-resize:640:0.png,14403,6.98,8.58,比亚迪,6,小型车,纯电动,2024.03,3.35,3.88,3.35,3.21,3.25,3.21,3.28,3.25,"['驾驶体验良好（19）', '整体空间出色（18）', '操控出色（13）', '动力十足（12）', '配置丰富（11）', '续航表现优秀（7）', '后排空间大（6）', '配置实用（5）', '内饰好看（3）', '外观时尚（3）', '动力输出平顺（3）', '动力响应灵敏（3）', '配置鸡肋（10）', '胎噪大（9）', '新车异味较大（9）', '隔音差（6）', '后备厢空间小（5）', '悬挂表现不理想（4）', '悬架跳动明显（3）', '配置低（3）', '内饰材质较差（2）', '操控感较差（2）', '储物空间较少（1）', '后排空间小（1）']"
大众,朗逸,https://p3-dcd.byteimg.com/img/motor-mis-img/28d677a5f94a5a24103f088dd94c8515~tplv-resize:640:0.png,14400,6.98,12.49,上汽大众,7,紧凑型车,汽油,2023.09,3.64,4.21,3.32,3.27,3.66,3.67,3.68,3.69,"['整体空间出色（271）', '动力十足（236）', '油耗低（203）', '后备厢空间大（141）', '操控出色（88）', '底盘调校好（72）', '外观大气（70）', '外观耐看（64）', '后排空间大（61）', '驾驶体验良好（60）', '乘坐感受还可以（49）', '动力中规中矩（77）', '内饰材质较差（131）', '动力响应不灵敏（126）', '动力不足（109）', '后排地台隆起（96）', '有异响（77）', '配置低（70）', '隔音差（45）', '乘坐感受比较差（28）', '配置鸡肋（28）', '变速箱换挡顿挫（24）', '内饰用料普通（23）', '胎噪大（23）']"
大众,速腾,https://p3-dcd.byteimg.com/img/motor-mis-img/44c013067df2032cc03b6031eb68bf05~tplv-resize:640:0.png,14209,9.29,13.79,一汽-大众,8,紧凑型车,汽油,2022.06,3.71,3.90,3.62,3.34,3.95,3.72,3.72,3.72,"['动力十足（383）', '整体空间出色（370）', '油耗低（177）', '底盘调校好（119）', '后备厢空间大（117）', '驾驶体验良好（115）', '后排空间大（104）', '动力响应灵敏（103）', '操控出色（101）', '配置丰富（78）', '乘坐感受还可以（61）', '动力中规中矩（79）', '后排地台隆起（142）', '胎噪大（137）', '有异响（131）', '油耗高（58）', '配置低（56）', '变速箱换挡顿挫（50）', '动力响应不灵敏（48）', '隔音差（41）', '乘坐感受比较差（41）', '配置鸡肋（40）', '动力不足（40）', '车机卡顿严重（22）']"
五菱汽车,五菱宏光MINIEV,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/287e133f10e1402386d901c399885fbf~tplv-resize:640:0.png,12649,2.98,9.99,上汽通用五菱,9,微型车,纯电动,2023.11,2.77,3.94,2.90,2.34,2.53,2.61,2.52,2.54,"['整体空间出色（77）', '外观耐看（63）', '动力十足（47）', '续航表现优秀（27）', '外观时尚（26）', '空间灵活性不错（23）', '动力响应灵敏（23）', '操控出色（23）', '驾驶体验良好（18）', '动力中规中矩（35）', '续航满足通勤（33）', '空间中规中矩（23）', '动力不足（31）', '续航表现较差（30）', '充电时间较长（27）', '后排空间小（26）', '内饰材质较差（22）', '隔音差（19）', '乘坐感受比较差（19）', '配置低（19）', '新车异味较大（18）', '空间局促（17）', '安全性表现较差（17）', '后备厢空间小（16）']"
大众,帕萨特,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/c9ddb9ea9b9047029212858b14caba31~tplv-resize:640:0.png,11641,14.39,20.83,上汽大众,10,中型车,汽油,2023.10,3.88,4.07,3.46,3.51,4.40,3.92,3.91,3.91,"['整体空间出色（476）', '动力十足（412）', '配置丰富（158）', '后排空间大（135）', '油耗低（121）', '乘坐感受还可以（116）', '驾驶体验良好（99）', '动力响应灵敏（97）', '底盘调校好（84）', '后备厢空间大（82）', '外观大气（73）', '配置实用（67）', '胎噪大（171）', '有异响（108）', '变速箱换挡顿挫（60）', '隔音差（59）', '后排地台隆起（57）', '油耗高（49）', '配置鸡肋（45）', '新车异味较大（38）', '配置低（36）', '城市油耗高（33）', '内饰材质较差（31）', '车机卡顿严重（27）']"
