年月,排名,国别,品牌名称,销量,占品牌份额
2016-01,1,德国,大众,304779,13.78%
2016-01,2,美国,别克,123095,5.57%
2016-01,3,美国,福特,120222,5.44%
2016-01,4,中国,五菱汽车,109053,4.93%
2016-01,5,日本,丰田,97622,4.41%
2016-01,6,中国,长安,90791,4.1%
2016-01,7,日本,本田,84940,3.84%
2016-01,8,中国,宝骏,82127,3.71%
2016-01,9,韩国,现代,79817,3.61%
2016-01,10,中国,哈弗,74165,3.35%
2016-01,11,日本,日产,71253,3.22%
2016-01,12,中国,吉利汽车,60138,2.72%
2016-01,13,德国,奥迪,55285,2.5%
2016-01,14,韩国,起亚,48675,2.2%
2016-01,15,中国,江汽集团,47053,2.13%
2016-01,16,中国,比亚迪,42949,1.94%
2016-01,17,美国,雪佛兰,42351,1.91%
2016-01,18,中国,东风风行,40009,1.81%
2016-01,19,中国,长安欧尚,38958,1.76%
2016-01,20,中国,奇瑞,38602,1.75%
2016-01,21,法国,标致,35059,1.59%
2016-01,22,法国,雪铁龙,34408,1.56%
2016-01,23,中国,北汽幻速,33294,1.51%
2016-01,24,中国,广汽传祺,33222,1.5%
2016-01,25,中国,众泰,31254,1.41%
2016-01,26,捷克,斯柯达,30750,1.39%
2016-01,27,德国,奔驰,29256,1.32%
2016-01,28,中国,海马,28993,1.31%
2016-01,29,德国,宝马,27663,1.25%
2016-01,30,日本,马自达,22217,1%
2016-01,31,中国,中华,20642,0.93%
2016-01,32,日本,铃木,20323,0.92%
2016-01,33,中国,东风风神,20099,0.91%
2016-01,34,中国,北京汽车,19166,0.87%
2016-01,35,中国,北汽威旺,17778,0.8%
2016-01,36,中国,荣威,15264,0.69%
2016-01,37,中国,金杯,13679,0.62%
2016-01,38,中国,奔腾,13115,0.59%
2016-01,39,中国,东南,11684,0.53%
2016-01,40,中国,启辰,11161,0.5%
2016-01,41,美国,Jeep,8307,0.38%
2016-01,42,中国,名爵,8282,0.37%
2016-01,43,中国,华泰,7737,0.35%
2016-01,44,中国,纳智捷,7568,0.34%
2016-01,45,中国,一汽,6234,0.28%
2016-01,46,美国,凯迪拉克,6222,0.28%
2016-01,47,中国,长城,6028,0.27%
2016-01,48,中国,中国重汽,5207,0.24%
2016-01,49,中国,力帆汽车,4568,0.21%
2016-01,50,中国,野马汽车,4380,0.2%
2016-01,51,中国,北汽昌河,3813,0.17%
2016-01,52,中国,凯翼,3044,0.14%
2016-01,53,法国,DS,2444,0.11%
2016-01,54,日本,英菲尼迪,2157,0.1%
2016-01,55,意大利,菲亚特,2071,0.09%
2016-01,56,中国,观致,2009,0.09%
2016-01,57,日本,三菱,1865,0.08%
2016-01,58,中国,东风小康,1652,0.07%
2016-01,59,中国,江铃,1371,0.06%
2016-01,60,中国,上汽大通MAXUS,1233,0.06%
2016-01,61,中国,福田,1131,0.05%
2016-01,62,中国,东风风度,902,0.04%
2016-01,63,中国,福汽启腾,712,0.03%
2016-01,64,中国,东风,428,0.02%
2016-01,65,中国,广汽吉奥,415,0.02%
2016-01,66,中国,红旗,291,0.01%
2016-01,67,中国,开瑞,207,0.01%
2016-01,68,中国,腾势,204,0.01%
2016-01,69,中国,威麟,191,0.01%
2016-01,70,日本,五十铃,77,-
2016-01,71,中国,华颂,67,-
2016-01,72,中国,北汽制造,62,-
2016-01,73,中国,黄海,30,-
2016-01,74,中国,欧朗,23,-
2016-01,75,中国,北京,6,-
2016-01,76,中国,永源,1,-
2016-02,1,德国,大众,193083,14.24%
2016-02,2,美国,福特,78920,5.82%
2016-02,3,中国,五菱汽车,72950,5.38%
2016-02,4,美国,别克,65252,4.81%
2016-02,5,中国,宝骏,62043,4.57%
2016-02,6,中国,长安,61022,4.5%
2016-02,7,韩国,现代,56169,4.14%
2016-02,8,日本,丰田,55752,4.11%
2016-02,9,日本,本田,52753,3.89%
2016-02,10,中国,哈弗,50017,3.69%
2016-02,11,韩国,起亚,39540,2.92%
2016-02,12,中国,长安欧尚,36617,2.7%
2016-02,13,中国,吉利汽车,33387,2.46%
2016-02,14,德国,奥迪,32994,2.43%
2016-02,15,美国,雪佛兰,31814,2.35%
2016-02,16,中国,江汽集团,30424,2.24%
2016-02,17,日本,日产,28926,2.13%
2016-02,18,中国,奇瑞,23149,1.71%
2016-02,19,法国,标致,21526,1.59%
2016-02,20,中国,北汽幻速,20686,1.53%
2016-02,21,中国,中华,18318,1.35%
2016-02,22,捷克,斯柯达,18205,1.34%
2016-02,23,中国,比亚迪,18200,1.34%
2016-02,24,德国,奔驰,17716,1.31%
2016-02,25,中国,东风风行,17137,1.26%
2016-02,26,中国,众泰,16800,1.24%
2016-02,27,中国,广汽传祺,16335,1.2%
2016-02,28,中国,海马,15334,1.13%
2016-02,29,法国,雪铁龙,14072,1.04%
2016-02,30,德国,宝马,13103,0.97%
2016-02,31,中国,北汽威旺,12435,0.92%
2016-02,32,日本,马自达,12223,0.9%
2016-02,33,中国,金杯,10010,0.74%
2016-02,34,日本,铃木,9822,0.72%
2016-02,35,中国,北京汽车,8908,0.66%
2016-02,36,中国,荣威,8777,0.65%
2016-02,37,中国,东风风神,8344,0.62%
2016-02,38,美国,Jeep,5979,0.44%
2016-02,39,中国,东南,5469,0.4%
2016-02,40,中国,华泰,5412,0.4%
2016-02,41,中国,奔腾,5054,0.37%
2016-02,42,中国,启辰,4912,0.36%
2016-02,43,美国,凯迪拉克,4538,0.33%
2016-02,44,中国,名爵,4225,0.31%
2016-02,45,中国,力帆汽车,4049,0.3%
2016-02,46,中国,猎豹汽车,4004,0.3%
2016-02,47,中国,东风小康,3729,0.27%
2016-02,48,中国,一汽,3537,0.26%
2016-02,49,中国,长城,2607,0.19%
2016-02,50,中国,北汽昌河,2426,0.18%
2016-02,51,中国,纳智捷,2251,0.17%
2016-02,52,中国,野马汽车,2244,0.17%
2016-02,53,中国,中国重汽,2029,0.15%
2016-02,54,意大利,菲亚特,1248,0.09%
2016-02,55,日本,三菱,1227,0.09%
2016-02,56,法国,DS,1180,0.09%
2016-02,57,中国,凯翼,1105,0.08%
2016-02,58,中国,理念,1023,0.08%
2016-02,59,中国,上汽大通MAXUS,924,0.07%
2016-02,60,中国,福田,868,0.06%
2016-02,61,中国,江铃,600,0.04%
2016-02,62,中国,东风风度,504,0.04%
2016-02,63,日本,英菲尼迪,437,0.03%
2016-02,64,中国,观致,384,0.03%
2016-02,65,中国,福汽启腾,353,0.03%
2016-02,66,中国,永源,305,0.02%
2016-02,67,中国,开瑞,209,0.02%
2016-02,68,中国,红旗,162,0.01%
2016-02,69,中国,威麟,136,0.01%
2016-02,70,中国,北京,109,0.01%
2016-02,71,中国,广汽吉奥,82,0.01%
2016-02,72,中国,腾势,78,0.01%
2016-02,73,中国,华颂,38,-
2016-02,74,日本,五十铃,28,-
2016-02,75,中国,黄海,20,-
2016-02,76,中国,北汽制造,9,-
2016-02,77,中国,欧朗,3,-
2016-03,1,德国,大众,267164,13.22%
2016-03,2,中国,五菱汽车,111913,5.54%
2016-03,3,美国,福特,110231,5.46%
2016-03,4,韩国,现代,103668,5.13%
2016-03,5,日本,丰田,98945,4.9%
2016-03,6,美国,别克,97012,4.8%
2016-03,7,日本,本田,92497,4.58%
2016-03,8,日本,日产,85821,4.25%
2016-03,9,中国,宝骏,72069,3.57%
2016-03,10,中国,长安,69883,3.46%
2016-03,11,中国,哈弗,68176,3.37%
2016-03,12,中国,吉利汽车,50052,2.48%
2016-03,13,德国,奥迪,49537,2.45%
2016-03,14,韩国,起亚,49465,2.45%
2016-03,15,中国,长安欧尚,45718,2.26%
2016-03,16,中国,比亚迪,40000,1.98%
2016-03,17,美国,雪佛兰,37573,1.86%
2016-03,18,中国,江汽集团,33953,1.68%
2016-03,19,中国,奇瑞,30813,1.52%
2016-03,20,中国,广汽传祺,30053,1.49%
2016-03,21,中国,众泰,28111,1.39%
2016-03,22,法国,标致,28031,1.39%
2016-03,23,捷克,斯柯达,27670,1.37%
2016-03,24,日本,马自达,25178,1.25%
2016-03,25,中国,东风风行,25032,1.24%
2016-03,26,法国,雪铁龙,24583,1.22%
2016-03,27,德国,宝马,24324,1.2%
2016-03,28,德国,奔驰,23837,1.18%
2016-03,29,中国,中华,21303,1.05%
2016-03,30,中国,北汽幻速,20591,1.02%
2016-03,31,中国,北京汽车,19825,0.98%
2016-03,32,中国,海马,16870,0.83%
2016-03,33,中国,北汽威旺,16681,0.83%
2016-03,34,中国,金杯,15978,0.79%
2016-03,35,日本,铃木,14286,0.71%
2016-03,36,中国,荣威,12928,0.64%
2016-03,37,中国,奔腾,11447,0.57%
2016-03,38,中国,东风风神,9995,0.49%
2016-03,39,中国,启辰,9650,0.48%
2016-03,40,美国,Jeep,9007,0.45%
2016-03,41,中国,东南,8775,0.43%
2016-03,42,中国,猎豹汽车,8060,0.4%
2016-03,43,中国,华泰,6796,0.34%
2016-03,44,中国,东风小康,6472,0.32%
2016-03,45,中国,名爵,6077,0.3%
2016-03,46,美国,凯迪拉克,5716,0.28%
2016-03,47,中国,力帆汽车,5705,0.28%
2016-03,48,中国,长城,4731,0.23%
2016-03,49,中国,北汽昌河,4006,0.2%
2016-03,50,中国,一汽,3752,0.19%
2016-03,51,中国,中国重汽,3436,0.17%
2016-03,52,中国,纳智捷,3146,0.16%
2016-03,53,中国,野马汽车,2761,0.14%
2016-03,54,日本,三菱,2610,0.13%
2016-03,55,中国,观致,2503,0.12%
2016-03,56,日本,英菲尼迪,2217,0.11%
2016-03,57,中国,凯翼,2001,0.1%
2016-03,58,中国,福田,1849,0.09%
2016-03,59,意大利,菲亚特,1743,0.09%
2016-03,60,中国,上汽大通MAXUS,1447,0.07%
2016-03,61,法国,DS,1355,0.07%
2016-03,62,中国,江铃,1291,0.06%
2016-03,63,中国,东风风度,918,0.05%
2016-03,64,中国,福汽启腾,745,0.04%
2016-03,65,中国,华颂,705,0.03%
2016-03,66,中国,开瑞,512,0.03%
2016-03,67,中国,红旗,422,0.02%
2016-03,68,中国,腾势,203,0.01%
2016-03,69,中国,永源,201,0.01%
2016-03,70,中国,威麟,196,0.01%
2016-03,71,中国,理念,150,0.01%
2016-03,72,中国,北汽制造,114,0.01%
2016-03,73,中国,北京,88,-
2016-03,74,日本,五十铃,77,-
2016-03,75,中国,广汽吉奥,39,-
2016-04,1,德国,大众,223961,12.77%
2016-04,2,中国,五菱汽车,104926,5.98%
2016-04,3,韩国,现代,102848,5.86%
2016-04,4,日本,本田,93958,5.36%
2016-04,5,日本,丰田,88414,5.04%
2016-04,6,美国,别克,87950,5.01%
2016-04,7,美国,福特,74743,4.26%
2016-04,8,日本,日产,73731,4.2%
2016-04,9,中国,哈弗,67021,3.82%
2016-04,10,中国,长安,50278,2.87%
2016-04,11,韩国,起亚,50131,2.86%
2016-04,12,德国,奥迪,47440,2.7%
2016-04,13,中国,吉利汽车,44867,2.56%
2016-04,14,中国,宝骏,42915,2.45%
2016-04,15,中国,长安欧尚,35579,2.03%
2016-04,16,中国,比亚迪,34931,1.99%
2016-04,17,美国,雪佛兰,31641,1.8%
2016-04,18,中国,众泰,30231,1.72%
2016-04,19,中国,奇瑞,28747,1.64%
2016-04,20,法国,标致,28307,1.61%
2016-04,21,中国,广汽传祺,28082,1.6%
2016-04,22,中国,江汽集团,25490,1.45%
2016-04,23,捷克,斯柯达,24409,1.39%
2016-04,24,法国,雪铁龙,23742,1.35%
2016-04,25,德国,奔驰,23304,1.33%
2016-04,26,中国,北汽幻速,22139,1.26%
2016-04,27,德国,宝马,21736,1.24%
2016-04,28,中国,东风风行,19019,1.08%
2016-04,29,中国,北京汽车,17214,0.98%
2016-04,30,日本,马自达,15644,0.89%
2016-04,31,中国,中华,14255,0.81%
2016-04,32,中国,海马,14254,0.81%
2016-04,33,中国,金杯,12657,0.72%
2016-04,34,中国,北汽威旺,11039,0.63%
2016-04,35,中国,荣威,10865,0.62%
2016-04,36,日本,铃木,10599,0.6%
2016-04,37,中国,奔腾,9771,0.56%
2016-04,38,美国,Jeep,9203,0.52%
2016-04,39,中国,东风风神,9175,0.52%
2016-04,40,中国,启辰,8372,0.48%
2016-04,41,美国,凯迪拉克,7230,0.41%
2016-04,42,中国,华泰,6785,0.39%
2016-04,43,中国,东南,6708,0.38%
2016-04,44,中国,名爵,6640,0.38%
2016-04,45,中国,一汽,6177,0.35%
2016-04,46,中国,猎豹汽车,5631,0.32%
2016-04,47,中国,力帆汽车,5514,0.31%
2016-04,48,中国,东风小康,5460,0.31%
2016-04,49,中国,中国重汽,3478,0.2%
2016-04,50,日本,三菱,3388,0.19%
2016-04,51,中国,长城,2825,0.16%
2016-04,52,中国,北汽昌河,2606,0.15%
2016-04,53,意大利,菲亚特,2266,0.13%
2016-04,54,中国,野马汽车,2240,0.13%
2016-04,55,中国,纳智捷,2083,0.12%
2016-04,56,中国,福田,1849,0.11%
2016-04,57,中国,观致,1683,0.1%
2016-04,58,法国,DS,1516,0.09%
2016-04,59,中国,上汽大通MAXUS,1460,0.08%
2016-04,60,中国,凯翼,1013,0.06%
2016-04,61,中国,福汽启腾,596,0.03%
2016-04,62,日本,英菲尼迪,583,0.03%
2016-04,63,中国,华颂,507,0.03%
2016-04,64,中国,北京,444,0.03%
2016-04,65,中国,东风风度,431,0.02%
2016-04,66,中国,开瑞,292,0.02%
2016-04,67,中国,红旗,260,0.01%
2016-04,68,中国,理念,234,0.01%
2016-04,69,中国,江铃,208,0.01%
2016-04,70,中国,腾势,182,0.01%
2016-04,71,中国,威麟,154,0.01%
2016-04,72,中国,广汽吉奥,116,0.01%
2016-04,73,中国,北汽制造,78,-
2016-04,74,日本,五十铃,28,-
2016-04,75,中国,欧朗,10,-
2016-04,76,中国,永源,5,-
2016-05,1,德国,大众,222439,12.62%
2016-05,2,韩国,现代,103255,5.86%
2016-05,3,美国,别克,98327,5.58%
2016-05,4,日本,丰田,97781,5.55%
2016-05,5,日本,本田,97325,5.52%
2016-05,6,中国,五菱汽车,90154,5.12%
2016-05,7,日本,日产,82877,4.7%
2016-05,8,美国,福特,64913,3.68%
2016-05,9,中国,哈弗,61793,3.51%
2016-05,10,韩国,起亚,50122,2.84%
2016-05,11,德国,奥迪,46644,2.65%
2016-05,12,中国,长安,46083,2.62%
2016-05,13,中国,吉利汽车,45954,2.61%
2016-05,14,中国,比亚迪,36849,2.09%
2016-05,15,中国,长安欧尚,35795,2.03%
2016-05,16,中国,宝骏,34469,1.96%
2016-05,17,美国,雪佛兰,34113,1.94%
2016-05,18,中国,奇瑞,33722,1.91%
2016-05,19,中国,广汽传祺,30177,1.71%
2016-05,20,捷克,斯柯达,26575,1.51%
