年份,排名,品牌LOGO,厂商,销量,占销量份额
2015,1,https://i.img16888.com/dealer/flogo/57412.gif,上汽大众,1526036,6.83%
2015,2,https://i.img16888.com/dealer/flogo/125977.gif,上汽通用五菱,1294735,5.79%
2015,3,https://i.img16888.com/dealer/flogo/57420.gif,一汽-大众,1140188,5.1%
2015,4,https://i.img16888.com/dealer/flogo/58002.gif,北京现代,1062838,4.75%
2015,5,https://i.img16888.com/dealer/flogo/57355.gif,上汽通用别克,1035199,4.63%
2015,6,https://i.img16888.com/dealer/flogo/57865.gif,东风日产,880203,3.94%
2015,7,https://i.img16888.com/dealer/flogo/57535.gif,长安福特,860405,3.85%
2015,8,https://i.img16888.com/dealer/flogo/127629.gif,长城汽车,753230,3.37%
2015,9,https://i.img16888.com/dealer/flogo/57379.gif,长安汽车,725661,3.25%
2015,10,https://i.img16888.com/dealer/flogo/57342.gif,进口标致,704818,3.15%
2015,11,https://i.img16888.com/dealer/flogo/126027.gif,长城汽车,662475,2.96%
2015,12,https://i.img16888.com/dealer/flogo/58027.gif,上汽通用雪佛兰,636626,2.85%
2015,13,https://i.img16888.com/dealer/flogo/57839.gif,悦达起亚,610468,2.73%
2015,14,https://i.img16888.com/dealer/flogo/57505.gif,一汽丰田,607090,2.72%
2015,15,https://i.img16888.com/dealer/flogo/57310.gif,广汽本田,576554,2.58%
2015,16,https://i.img16888.com/dealer/flogo/57605.gif,吉利汽车,522473,2.34%
2015,17,https://i.img16888.com/dealer/flogo/57230.gif,一汽-大众奥迪,509997,2.28%
2015,18,https://i.img16888.com/dealer/flogo/125810.gif,上汽通用五菱,502872,2.25%
2015,19,https://i.img16888.com/dealer/flogo/57329.gif,比亚迪,440438,1.97%
2015,20,https://i.img16888.com/dealer/flogo/57306.gif,东风本田,406468,1.82%
2015,21,https://i.img16888.com/dealer/flogo/57339.gif,东风标致,406412,1.82%
2015,22,https://i.img16888.com/dealer/flogo/57501.gif,广汽丰田,403088,1.8%
2015,23,https://i.img16888.com/dealer/flogo/57824.gif,奇瑞汽车,368391,1.65%
2015,24,https://i.img16888.com/dealer/flogo/57621.gif,江淮汽车,346175,1.55%
2015,25,https://i.img16888.com/dealer/flogo/126293.gif,长安汽车,308219,1.38%
2015,26,https://i.img16888.com/dealer/flogo/58045.gif,东风雪铁龙,298080,1.33%
2015,27,https://i.img16888.com/dealer/flogo/57249.gif,华晨宝马,287073,1.28%
