年月,排名,厂商,销量,占销量份额
2015-01,1,上汽大众,177483,8.28%
2015-01,2,一汽-大众,144203,6.73%
2015-01,3,上汽通用五菱,129608,6.05%
2015-01,4,北京现代,103319,4.82%
2015-01,5,上汽通用别克,90510,4.22%
2015-01,6,长安福特,83225,3.88%
2015-01,7,长城汽车,77530,3.62%
2015-01,8,进口标致,71632,3.34%
2015-01,9,上汽通用雪佛兰,67563,3.15%
2015-01,10,东风日产,67485,3.15%
2015-01,11,长城汽车,64285,3%
2015-01,12,长安汽车,60689,2.83%
2015-01,13,吉利汽车,58977,2.75%
2015-01,14,悦达起亚,56130,2.62%
2015-01,15,一汽-大众奥迪,47328,2.21%
2015-01,16,东风标致,44230,2.06%
2015-01,17,长安汽车,42856,2%
2015-01,18,比亚迪,42335,1.97%
2015-01,19,奇瑞汽车,35397,1.65%
2015-01,20,东风风行,35005,1.63%
2015-01,21,广汽本田,33777,1.58%
2015-01,22,上汽通用五菱,33216,1.55%
2015-01,23,广汽丰田,33024,1.54%
2015-01,24,江淮汽车,30706,1.43%
2015-01,25,一汽丰田,29888,1.39%
2015-01,26,华晨宝马,29793,1.39%
2015-01,27,上汽大众斯柯达,28195,1.32%
2015-01,28,东风雪铁龙,27079,1.26%
2015-01,29,东风本田,24659,1.15%
2015-01,30,东风小康,22324,1.04%
2015-01,31,北汽幻速,21259,0.99%
2015-01,32,众泰汽车,19612,0.91%
2015-01,33,北京奔驰,19022,0.89%
2015-01,34,一汽奔腾,18520,0.86%
2015-01,35,长安铃木,17645,0.82%
2015-01,36,北汽昌河,16971,0.79%
2015-01,37,长安马自达,15357,0.72%
2015-01,38,东风乘用车,14996,0.7%
2015-01,39,一汽海马,11394,0.53%
2015-01,40,广汽乘用车,10608,0.49%
2015-01,41,华晨中华,10047,0.47%
2015-01,42,天津一汽,9867,0.46%
2015-01,43,东风日产,9523,0.44%
2015-01,44,上汽集团,9321,0.43%
2015-01,45,海马汽车,9056,0.42%
2015-01,46,东风裕隆,9000,0.42%
